"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"8382","Daniel Amartey","GHA","Leicester City","Premier League","2020-2021","1795.25","26.03","26","DF","PossessionOrientedCentralDefender","265","3","8","92","Right","-2.89","-0.09","0.19","-2.61","0.06","","","","",""
"8383","Riza Durmisi","DEN","Lazio","Serie A","2018-2019","1658.64","24","26","DF,MF","OffensiveWideProgressor","326","2","83.21","16.79","Left","-2.89","-0.02","0.58","-2.6","0.16","2303725","2542419","","",""
"8384","Johann Berg Gudmundsson","ISL","Burnley","Premier League","2019-2020","1726.9","28","30","MF","Playmaker","621","6","84.36","15.64","Left","-2.89","-0.09","1.02","-2.67","0.15","2058155","3893341","","",""
"8385","Fabian Johnson","USA","M'Gladbach","Bundesliga","2017-2018","1659.45","29","33","MF,FW","OffensiveWideProgressor","465","5","32.99","67.01","Right","-2.89","-0.07","0.57","-2.6","0.11","","","1600000","",""
"8386","Roberto Soldado","ESP","Granada","La Liga","2020-2021","1710.02","35.6","35","FW","Finisher","698","8","8.63","91.37","Right","-2.89","-0.09","1.22","-2.19","0.16","","","1000000","",""
"8387","Ihsan Sacko","FRA","Nice","Ligue 1","2017-2018","1637.11","20","23","FW","Dribbler","257","3","15.85","84.15","Right","-2.9","-0.18","0.16","-2.84","0.06","","","","",""
"8388","Lorenzo Venuti","ITA","Fiorentina","Serie A","2020-2021","1639.74","25.72","25","DF","OffensiveWideProgressor","333","4","11.18","88.82","Right","-2.9","-0.03","0.57","-2.61","0.15","","","2000000","",""
"8389","Robert Beric","SVN","Saint-Etienne","Ligue 1","2019-2020","1549.8","28","29","FW,MF","Finisher","413","4","10.77","89.23","Right","-2.9","-0.1","0.65","-2.75","0.14","1203320","2149730","","",""
"8390","Daniel Sturridge","ENG","Liverpool","Premier League","2018-2019","2043.53","28","31","FW,MF","Playmaker","509","4","75.71","24.29","Left","-2.9","-0.06","1.01","-2.67","0.18","8918671","5857665","","",""
"8391","Lebo Mothiba","RSA","Lille","Ligue 1","2018-2019","1672.55","22","24","FW","Finisher","253","3","15.79","84.21","Right","-2.9","-0.23","0.05","-3.35","0.02","","","","",""
"8392","Moussa Konate","SEN","Amiens","Ligue 1","2019-2020","1484.79","26","27","FW","Finisher","614","6","23.66","76.34","Right","-2.9","-0.15","0.65","-2.76","0.1","540589","1041819","4000000","2233027",""
"8393","Jeong Woo-yeong","KOR","Freiburg","Bundesliga","2020-2021","1687.84","21.28","21","MF,FW","Playmaker","256","1","18.03","81.97","Right","-2.9","0.06","0.8","-2.89","0.28","","","","",""
"8394","Marco Borriello","ITA","SPAL","Serie A","2017-2018","1554.81","35","38","FW","Finisher","773","9","85.71","14.29","Left","-2.9","-0.14","0.91","-2.5","0.11","","","","",""
"8395","Eneko Boveda","ESP","Athletic Club","La Liga","2017-2018","1698.5","28","32","DF","OffensiveWideProgressor","521","6","20.3","79.7","Right","-2.91","-0.09","0.56","-2.61","0.1","","","","",""
"8396","Eldor Shomurodov","UZB","Genoa","Serie A","2020-2021","1540.76","25.51","25","FW","Finisher","402","5","21.51","78.49","Right","-2.91","-0.1","0.64","-2.77","0.14","","","","",""
"8397","Mahmoud Dahoud","GER","Dortmund","Bundesliga","2020-2021","1824.33","25","24","MF","AttackingCentralProgressor","258","4","12.75","87.25","Right","-2.91","-0.09","0.23","-2.51","0.08","","","6500000","",""
"8398","Cristian Benavente","PER","Nantes","Ligue 1","2019-2020","1569.26","25","26","MF,FW","Finisher","349","4","49.64","50.36","Dual","-2.91","-0.08","0.64","-2.77","0.17","","","3200000","2885633",""
"8399","Patrick Mullins","USA","Toronto FC","MLS","2019","","26","28","FW","Finisher","348","4","68","32","Left","-2.91","-0.08","0.64","-2.77","0.17","","","350000","","39315"
"8400","Giampaolo Pazzini","ITA","Hellas Verona","Serie A","2017-2018","1454.89","32","36","FW","Finisher","992","7","7.63","92.37","Right","-2.91","-0.17","0.9","-2.51","0.08","","","350000","",""
"8401","Cebio Soukou","BEN","Arminia","Bundesliga","2020-2021","1592.72","28.25","28","FW,MF","Dribbler","391","5","8.14","91.86","Right","-2.92","-0.18","0.28","-2.72","0.06","","","","",""
"8402","Mohamed Fares","ALG","Lazio","Serie A","2020-2021","1733.08","24.88","24","DF","OffensiveWideProgressor","424","5","89.05","10.95","Left","-2.92","-0.07","0.55","-2.63","0.12","","","","",""
"8403","Kofi Opare","CAN","Colorado","MLS","2019","","28","30","DF","PossessionOrientedCentralDefender","270","3","19.05","80.95","Right","-2.92","-0.1","0.15","-2.64","0.05","70250","138106","","","9215"
"8404","Nacho Gil","ESP","Las Palmas","La Liga","2017-2018","1539.63","21","25","FW,MF","Playmaker","731","8","8.43","91.57","Right","-2.92","-0.12","0.78","-2.9","0.1","","","","",""
"8405","Mike Grella","USA","Columbus","MLS","2018","","31","33","FW","Dribbler","483","5","16.29","83.71","Right","-2.92","-0.04","1.14","-1.86","0.21","197550","145652","","","70030"
"8406","Isco","ESP","Real Madrid","La Liga","2020-2021","1901.67","28.7","28","MF","Playmaker","349","3","8.57","91.43","Right","-2.92","0.02","0.99","-2.7","0.25","","","30000000","",""
"8407","Christian Santos","VEN","Alaves","La Liga","2017-2018","1704.9","29","32","FW","Finisher","438","5","69.23","30.77","Left","-2.92","-0.11","0.63","-2.78","0.13","","","","",""
"8408","Quincy Amarikwa","USA","D.C. United","MLS","2019","","31","33","FW","Finisher","429","3","20.29","79.71","Right","-2.92","-0.06","0.89","-2.52","0.19","70250","138563","","","54672"
"8409","Nicolas de Preville","FRA","Lille","Ligue 1","2017-2018","1532.95","26","29","FW","Finisher","285","3","13.56","86.44","Right","-2.93","-0.05","0.63","-2.78","0.2","","","","",""
"8410","Fabinho","BRA","Philadelphia","MLS","2018","","32","35","DF","OffensiveWideProgressor","715","8","94.9","5.1","Left","-2.93","-0.09","0.74","-2.43","0.09","153000","138751","","","45458"
"8411","Juanmi","ESP","Betis","La Liga","2019-2020","1666.35","26","27","FW,MF","Finisher","264","2","11.54","88.46","Right","-2.93","-0.03","0.62","-2.79","0.21","","","3000000","4075248",""
"8412","Jorge Pombo","ESP","Cadiz","La Liga","2020-2021","1584.88","26.86","26","FW,MF","Playmaker","417","4","10.69","89.31","Right","-2.93","-0.02","0.98","-2.7","0.21","","","","",""
"8413","Jonathas","BRA","Hannover 96","Bundesliga","2018-2019","1527.5","29","31","FW","Finisher","607","6","7.96","92.04","Right","-2.93","-0.15","0.62","-2.79","0.09","3392820","2867374","","",""
"8414","Alessandro Deiola","ITA","Spezia","Serie A","2020-2021","1483.16","25.42","25","MF","AttackingCentralProgressor","309","3","10.22","89.78","Right","-2.93","-0.11","0.21","-2.54","0.06","","","","",""
"8415","Michael Gregoritsch","AUT","Augsburg","Bundesliga","2019-2020","1605.48","25","26","MF,FW","AttackingCentralProgressor","303","4","75","25","Left","-2.94","-0.11","0.21","-2.54","0.06","1127547","1169402","4500000","4803698",""
"8416","Kevin-Prince Boateng","GHA","Fiorentina","Serie A","2019-2020","1633.43","32","33","FW","Finisher","599","6","18.67","81.33","Right","-2.94","-0.12","0.87","-2.53","0.13","","","3000000","2250934",""
"8417","Rene Krhin","SVN","Nantes","Ligue 1","2019-2020","1569.26","29","30","DF,MF","PossessionOrientedCentralDefender","327","4","9.49","90.51","Right","-2.94","-0.12","0.13","-2.67","0.04","944335","1315868","1200000","1585188",""
"8418","Ondrej Duda","SVK","Norwich City","Premier League","2019-2020","1537.87","24","26","MF","Playmaker","724","9","11.71","88.29","Right","-2.94","-0.11","0.97","-2.72","0.12","","","7000000","4802689",""
"8419","Callum Robinson","IRL","West Brom","Premier League","2020-2021","1561.08","25.92","25","FW,MF","Finisher","757","9","23.19","76.81","Right","-2.95","-0.17","0.61","-2.8","0.07","","","","",""
"8420","Edimilson Fernandes","SUI","Mainz 05","Bundesliga","2020-2021","1610.11","24.72","24","MF,DF","OffensiveWideProgressor","625","7","14.47","85.53","Right","-2.95","-0.11","0.52","-2.66","0.07","","","5500000","",""
"8421","Chema","ESP","Getafe","La Liga","2020-2021","1704.88","28.83","28","DF,MF","PossessionOrientedCentralDefender","276","4","88.14","11.86","Left","-2.95","-0.11","0.13","-2.67","0.04","","","1000000","",""
"8422","Christian Ramirez","USA","Los Angeles FC","MLS","2018","","26","29","FW","Finisher","262","3","3.23","96.77","Right","-2.95","-0.04","0.6","-2.8","0.21","","","","","36858"
"8423","Valentino Lazaro","AUT","M'Gladbach","Bundesliga","2020-2021","1784.64","24.78","24","DF,FW","OffensiveWideProgressor","379","3","17","83","Right","-2.95","-0.06","0.51","-2.66","0.12","","","","",""
"8424","Prince-Desir Gouano","FRA","Amiens","Ligue 1","2019-2020","1484.79","25","27","DF","PossessionOrientedCentralDefender","270","3","9.47","90.53","Right","-2.95","-0.11","0.12","-2.67","0.04","","","","",""
"8425","Yildirim Mert Cetin","TUR","Hellas Verona","Serie A","2020-2021","1597.7","24","23","DF","PossessionOrientedCentralDefender","283","3","16.07","83.93","Right","-2.95","-0.12","0.12","-2.68","0.04","","","","",""
"8426","Keagan Dolly","RSA","Montpellier","Ligue 1","2020-2021","1596.89","27.95","27","MF","AttackingCentralProgressor","287","2","84.69","15.31","Left","-2.96","-0.11","0.19","-2.56","0.06","","","","",""
"8427","Suso","ESP","Sevilla","La Liga","2020-2021","1843.53","27.12","27","FW","Playmaker","561","7","89.51","10.49","Left","-2.96","-0.08","0.95","-2.73","0.15","","","20000000","",""
"8428","Federico Bonazzoli","ITA","Torino","Serie A","2020-2021","1568.57","23.62","23","FW","Finisher","289","2","77.36","22.64","Left","-2.96","-0.06","0.59","-2.82","0.18","","","","",""
"8429","Adam Lallana","ENG","Liverpool","Premier League","2017-2018","1913.55","29","32","MF,FW","Playmaker","308","1","31.02","68.98","Right","-2.96","0.04","0.95","-2.74","0.28","","","9500000","",""
"8430","Joao Plata","ECU","Real Salt Lake","MLS","2019","","26","28","FW,MF","Playmaker","317","2","8.91","91.09","Right","-2.97","0.03","0.95","-2.74","0.27","856254","364828","","","58358"
"8431","Giampaolo Pazzini","ITA","Hellas Verona","Serie A","2019-2020","1559.21","34","36","FW","Finisher","307","1","21.43","78.57","Right","-2.97","0","0.85","-2.56","0.25","","","350000","951418",""
"8432","Bouna Sarr","GUI","Bayern Munich","Bundesliga","2020-2021","2049.7","28.92","28","DF","OffensiveWideProgressor","270","3","16.58","83.42","Right","-2.97","-0.02","0.5","-2.68","0.17","","","","",""
"8433","Quincy Amarikwa","USA","San Jose","MLS","2018","","30","33","FW,MF","Finisher","280","1","31.03","68.97","Right","-2.97","-0.06","0.58","-2.82","0.19","","","","","35629"
"8434","Lukasz Teodorczyk","POL","Udinese","Serie A","2018-2019","1561.08","27","29","FW,MF","Finisher","400","2","20.63","79.37","Right","-2.97","-0.11","0.58","-2.82","0.13","838027","2443050","","",""
"8435","Stefano Sturaro","ITA","Juventus","Serie A","2017-2018","1958.95","24","27","MF,DF","OffensiveWideProgressor","613","7","18.42","81.58","Right","-2.97","-0.11","0.49","-2.68","0.07","","","","",""
"8436","Admir Mehmedi","SUI","Wolfsburg","Bundesliga","2020-2021","1760.6","29.8","29","MF,FW","Playmaker","537","6","15.05","84.95","Right","-2.97","-0.08","0.94","-2.74","0.16","","","6000000","",""
"8437","Sergio Pellissier","ITA","Chievo","Serie A","2017-2018","1557.81","38","41","FW","Finisher","560","2","13.13","86.87","Right","-2.97","-0.07","1.14","-2.26","0.18","","","","",""
"8438","Yeni Ngbakoto","COD","Guingamp","Ligue 1","2017-2018","1558.25","25","28","FW,MF","Playmaker","574","4","17.3","82.7","Right","-2.97","-0.09","0.94","-2.75","0.15","","","","",""
"8439","Brandon","ESP","Osasuna","La Liga","2019-2020","1695.54","24","25","FW","Finisher","406","5","19.39","80.61","Right","-2.98","-0.12","0.58","-2.83","0.13","","","1200000","1890398",""
"8440","Fares Bahlouli","FRA","Lille","Ligue 1","2017-2018","1532.95","22","25","MF,FW","Playmaker","307","2","19.87","80.13","Right","-2.98","-0.01","0.72","-2.96","0.21","","","","",""
"8441","Pedro Leon","ESP","Eibar","La Liga","2018-2019","1709.06","31","34","MF,FW","Playmaker","425","5","15.97","84.03","Right","-2.98","-0.09","0.73","-2.95","0.15","1385402","1078407","1000000","",""
"8442","Alvaro Gimenez","ESP","Cadiz","La Liga","2020-2021","1584.88","29.62","29","FW,MF","Finisher","376","3","79.31","20.69","Left","-2.98","-0.11","0.57","-2.84","0.14","","","","",""
"8443","Ibai Gomez","ESP","Athletic Club","La Liga","2018-2019","1718.35","28","31","FW","Playmaker","580","6","14.39","85.61","Right","-2.99","-0.09","0.93","-2.76","0.14","1409151","1038860","2500000","",""
"8444","Marco Fabian","MEX","Eint Frankfurt","Bundesliga","2017-2018","1627.17","28","31","FW,MF","Playmaker","422","3","9.39","90.61","Right","-2.99","-0.04","0.92","-2.76","0.2","","","","",""
"8445","Yun Il-lok","KOR","Montpellier","Ligue 1","2020-2021","1596.89","28.82","28","MF,FW","AttackingCentralProgressor","253","2","28.57","71.43","Right","-2.99","-0.11","0.15","-2.6","0.05","","","","",""
"8446","Miguel Baeza","ESP","Celta Vigo","La Liga","2020-2021","1693.48","20.77","20","MF,FW","Playmaker","353","3","88.5","11.5","Left","-2.99","-0.04","0.71","-2.98","0.18","","","","",""
"8447","Maximilian Philipp","GER","Dortmund","Bundesliga","2018-2019","1822.8","24","26","FW,MF","Finisher","758","9","18.14","81.86","Right","-3","-0.18","0.56","-2.85","0.07","4507927","2668163","","",""
"8448","Haris Duljevic","BIH","Nimes","Ligue 1","2020-2021","1462.15","27.13","27","MF,FW","Playmaker","417","5","16.22","83.78","Right","-3","-0.04","0.91","-2.77","0.2","","","","",""
"8449","Miguel Layun","MEX","Villarreal","La Liga","2018-2019","1729","30","32","MF,DF","Playmaker","506","5","14.62","85.38","Right","-3","-0.07","0.91","-2.77","0.16","","","","",""
"8450","Alexander Soderlund","NOR","Saint-Etienne","Ligue 1","2017-2018","1620.35","29","33","FW,MF","Finisher","364","2","18.37","81.63","Right","-3","-0.11","0.55","-2.86","0.14","","","","",""
"8451","Everton Luiz","BRA","SPAL","Serie A","2018-2019","1550.09","30","32","MF","AttackingCentralProgressor","317","2","10.45","89.55","Right","-3","-0.13","0.14","-2.61","0.04","","","","",""
"8452","Eduardo Sosa","VEN","Columbus","MLS","2019","","21","23","MF,FW","Playmaker","325","4","19.05","80.95","Right","-3.01","-0.03","0.69","-2.99","0.19","120200","128663","","","42387"
"8453","Samuel Armenteros","SWE","Benevento","Serie A","2017-2018","1449.56","27","30","FW","Finisher","429","5","83.56","16.44","Left","-3.01","-0.13","0.54","-2.87","0.11","","","","",""
"8454","Enes Unal","TUR","Getafe","La Liga","2020-2021","1704.88","23.65","23","FW","Finisher","431","4","8.47","91.53","Right","-3.01","-0.13","0.54","-2.87","0.11","","","","",""
"8455","Arnold Bouka Moutou","CGO","Dijon","Ligue 1","2017-2018","1549.68","28","32","DF","OffensiveWideProgressor","336","3","88.68","11.32","Left","-3.01","-0.06","0.45","-2.72","0.12","","","","",""
"8456","Benjamin Nivet","FRA","Troyes","Ligue 1","2017-2018","1461.59","40","43","MF,FW","Playmaker","1371","16","14.14","85.86","Right","-3.02","-0.07","2.23","-1.46","0.15","","","","",""
"8457","Philipp Forster","GER","Stuttgart","Bundesliga","2020-2021","1657.1","25.91","25","MF,FW","Playmaker","279","3","83.33","16.67","Left","-3.02","0.05","0.9","-2.79","0.29","","","","",""
"8458","Lucas Lima","BRA","Nantes","Ligue 1","2019-2020","1569.26","27","29","FW,DF","OffensiveWideProgressor","270","3","95.57","4.43","Left","-3.02","-0.03","0.45","-2.72","0.15","401484","1221440","6000000","2962020",""
"8459","Steven Zuber","SUI","Eint Frankfurt","Bundesliga","2020-2021","1735.53","29.38","29","DF","Playmaker","439","5","38.01","61.99","Right","-3.02","-0.05","0.9","-2.79","0.18","","","","",""
"8460","Ishak Belfodil","ALG","Hoffenheim","Bundesliga","2020-2021","1751.72","28.97","28","FW","Finisher","334","4","7.81","92.19","Right","-3.02","-0.1","0.53","-2.88","0.14","","","7500000","",""
"8461","Andre Horta","POR","Los Angeles FC","MLS","2018","","21","24","MF","Playmaker","325","3","4.26","95.74","Right","-3.02","-0.03","0.68","-3","0.19","1198000","861428","","","41772"
"8462","Danilo Cataldi","ITA","Lazio","Serie A","2020-2021","1733.08","26.41","26","MF","OffensiveWideProgressor","257","2","19.62","80.38","Right","-3.02","-0.03","0.44","-2.73","0.15","","","3200000","",""
"8463","Waldo Rubio","ESP","Valladolid","La Liga","2018-2019","1613.73","22","25","MF,FW","Playmaker","492","5","16.91","83.09","Right","-3.03","-0.1","0.67","-3.01","0.12","","","1000000","",""
"8464","Burgui","ESP","Alaves","La Liga","2018-2019","1679.75","24","27","MF,FW","Playmaker","555","5","11.4","88.6","Right","-3.03","-0.09","0.88","-2.8","0.14","1037072","1023525","","",""
"8465","Mirko Gori","ITA","Frosinone","Serie A","2018-2019","1453.52","25","27","MF","OffensiveWideProgressor","329","2","32.84","67.16","Right","-3.03","-0.06","0.43","-2.74","0.12","523625","1267930","","",""
"8466","Sergio Floccari","ITA","SPAL","Serie A","2019-2020","1445.58","37","39","FW","Finisher","942","9","25.33","74.67","Right","-3.03","-0.15","1.08","-2.32","0.1","","","300000","852776",""
"8467","Sergi Enrich","ESP","Eibar","La Liga","2020-2021","1666.96","30.85","30","FW","Finisher","264","1","8.62","91.38","Right","-3.03","0.02","0.78","-2.63","0.27","","","2500000","",""
"8468","Hidde ter Avest","NED","Udinese","Serie A","2020-2021","1592.02","23.62","23","DF","OffensiveWideProgressor","351","4","12","88","Right","-3.03","-0.07","0.43","-2.74","0.11","","","1600000","",""
"8469","Sebastien Corchia","FRA","Espanyol","La Liga","2019-2020","1607.97","28","30","DF","OffensiveWideProgressor","269","3","7.84","92.16","Right","-3.03","-0.04","0.43","-2.74","0.14","","","1600000","5604985",""
"8470","Sven Schipplock","GER","Hamburger SV","Bundesliga","2017-2018","1567.97","28","32","FW,MF","Finisher","338","3","16.28","83.72","Right","-3.04","-0.11","0.52","-2.89","0.14","","","","",""
"8471","Marcello Trotta","ITA","Frosinone","Serie A","2018-2019","1453.52","25","28","FW","Finisher","398","4","78.64","21.36","Left","-3.04","-0.13","0.51","-2.89","0.12","853860","1302629","","",""
"8472","Brandon Borrello","AUS","Freiburg","Bundesliga","2019-2020","1660.59","24","25","MF,FW","Dribbler","298","4","23.19","76.81","Right","-3.04","-0.19","0.15","-2.85","0.05","499875","1105402","950000","3548023",""
"8473","Abdallah N'dour","SEN","Strasbourg","Ligue 1","2019-2020","1577.77","25","27","DF","OffensiveWideProgressor","373","4","86.05","13.95","Left","-3.04","-0.08","0.42","-2.75","0.1","","","","",""
